[OK] train_15 seed_05 (n=500, ratio=0.06000, n_obj=24, l2=1.0, msl=70, n_iter=45): pub=0.839327 prv=0.844739
[OK] train_15 seed_06 (n=500, ratio=0.06000, n_obj=24, l2=1.0, msl=70, n_iter=98): pub=0.842284 prv=0.847554
[OK] train_15 seed_07 (n=500, ratio=0.06000, n_obj=24, l2=1.0, msl=70, n_iter=90): pub=0.849736 prv=0.853846
[OK] train_15 seed_08 (n=500, ratio=0.06000, n_obj=24, l2=1.0, msl=70, n_iter=114): pub=0.846637 prv=0.849561
[OK] train_15 seed_09 (n=500, ratio=0.06000, n_obj=24, l2=1.0, msl=70, n_iter=59): pub=0.846467 prv=0.851318
[OK] train_16 seed_00 (n=1809, ratio=0.01161, n_obj=0, l2=1.0, msl=20, n_iter=129): pub=0.892160 prv=0.893255
[OK] train_16 seed_01 (n=1809, ratio=0.01161, n_obj=0, l2=1.0, msl=20, n_iter=49): pub=0.884764 prv=0.883269
[OK] train_16 seed_02 (n=1809, ratio=0.01161, n_obj=0, l2=1.0, msl=20, n_iter=60): pub=0.882065 prv=0.882432
[OK] train_16 seed_03 (n=1809, ratio=0.01161, n_obj=0, l2=1.0, msl=20, n_iter=34): pub=0.871451 prv=0.872528
[OK] train_16 seed_04 (n=1809, ratio=0.01161, n_obj=0, l2=1.0, msl=20, n_iter=34): pub=0.871318 prv=0.866945
[OK] train_16 seed_05 (n=1809, ratio=0.01161, n_obj=0, l2=1.0, msl=20, n_iter=64): pub=0.889292 prv=0.886885
[OK] train_16 seed_06 (n=1809, ratio=0.01161, n_obj=0, l2=1.0, msl=20, n_iter=45): pub=0.873958 prv=0.873095
[OK] train_16 seed_07 (n=1809, ratio=0.01161, n_obj=0, l2=1.0, msl=20, n_iter=66): pub=0.884666 prv=0.881491
[OK] train_16 seed_08 (n=1809, ratio=0.01161, n_obj=0, l2=1.0, msl=20, n_iter=48): pub=0.878078 prv=0.876561
[OK] train_16 seed_09 (n=1809, ratio=0.01161, n_obj=0, l2=1.0, msl=20, n_iter=69): pub=0.890450 prv=0.886730

=== BASE CROSS-CHECK (seed_00 vs round82's independently-written base arm — proves this harness runs 08) ===
Compared 32 (dataset x split) cells (expected 32 = 16 datasets x 2 splits).
max |seed_00 - round82_base| = 0  (must be EXACTLY 0)
CROSS-CHECK=PASSED — this harness reproduces shipped 08 bit-for-bit

=== PER-DATASET SEED JITTER (Public) — 10 seeds (random_state=0..9), 08 recipe otherwise UNCHANGED ===
dataset         n    ratio  msl      mean       std       min       max     range |     seed0    d_mean  pctile       z  rank
train_01    14957  0.00080   20   0.70995   0.00179   0.70668   0.71181   0.00513 |   0.71029  +0.00034   44.4%   +0.19   5/10
train_02    14929  0.00188   20   0.96494   0.00140   0.96150   0.96661   0.00511 |   0.96437  -0.00057   11.1%   -0.41   2/10
train_03     3501  0.00514   20   0.79343   0.00313   0.78704   0.79776   0.01072 |   0.79258  -0.00086   22.2%   -0.27   3/10
train_04     8775  0.00137   20   0.82483   0.00183   0.82199   0.82804   0.00605 |   0.82365  -0.00118   33.3%   -0.65   4/10
train_05     1060  0.00849   20   0.65176   0.00672   0.63698   0.66268   0.02570 |   0.65313  +0.00137   55.6%   +0.20   6/10
train_06    10803  0.00083   20   0.79864   0.00137   0.79577   0.80036   0.00458 |   0.79969  +0.00105   77.8%   +0.77   8/10
train_07    10417  0.00163   20   0.82313   0.00111   0.82142   0.82487   0.00345 |   0.82365  +0.00052   66.7%   +0.47   7/10
train_08     8173  0.00147   20   0.84733   0.00092   0.84603   0.84904   0.00302 |   0.84603  -0.00130    0.0%   -1.42   1/10
train_09     1109  0.01623   50   0.62168   0.00541   0.61426   0.63160   0.01734 |   0.62042  -0.00126   55.6%   -0.23   6/10
train_10    11800  0.00229   20   0.83687   0.00194   0.83315   0.83885   0.00571 |   0.83681  -0.00007   33.3%   -0.03   4/10
train_11    28879  0.00069   20   0.82546   0.00161   0.82265   0.82813   0.00548 |   0.82813  +0.00267  100.0%   +1.66  10/10
train_12    49432  0.00016   20   0.79572   0.00054   0.79489   0.79630   0.00141 |   0.79489  -0.00084    0.0%   -1.56   1/10
train_13      500  0.01800   50   0.63335   0.00551   0.62405   0.63922   0.01517 |   0.62838  -0.00497   22.2%   -0.90   3/10
train_14    11108  0.00207   20   0.79679   0.00214   0.79235   0.79961   0.00726 |   0.79752  +0.00074   55.6%   +0.34   6/10
train_15      500  0.06000   70   0.84517   0.00432   0.83933   0.85362   0.01429 |   0.84110  -0.00407   11.1%   -0.94   2/10
train_16     1809  0.01161   20   0.88182   0.00780   0.87132   0.89216   0.02084 |   0.89216  +0.01034  100.0%   +1.33  10/10
  (range = max-min over the 10 seeds. std is the sample std (ddof=1), i.e. our estimate of the per-dataset seed-noise sigma. seed0 = the AUC the SHIPPED 08 actually gets. pctile: 0%=seed0 is the worst of the 10, 100%=the best, 50%=median. z = (seed0-mean)/std.)

=== PER-DATASET SEED JITTER (Private) — 10 seeds (random_state=0..9), 08 recipe otherwise UNCHANGED ===
dataset         n    ratio  msl      mean       std       min       max     range |     seed0    d_mean  pctile       z  rank
train_01    14957  0.00080   20   0.70460   0.00104   0.70286   0.70633   0.00348 |   0.70482  +0.00022   66.7%   +0.21   7/10
train_02    14929  0.00188   20   0.96363   0.00079   0.96222   0.96482   0.00259 |   0.96348  -0.00015   33.3%   -0.19   4/10
train_03     3501  0.00514   20   0.80901   0.00123   0.80792   0.81208   0.00416 |   0.80954  +0.00054   77.8%   +0.44   8/10
train_04     8775  0.00137   20   0.82862   0.00210   0.82496   0.83120   0.00624 |   0.82496  -0.00366    0.0%   -1.74   1/10
train_05     1060  0.00849   20   0.65462   0.00641   0.64778   0.66654   0.01876 |   0.65687  +0.00225   77.8%   +0.35   8/10
train_06    10803  0.00083   20   0.81248   0.00096   0.81128   0.81371   0.00244 |   0.81371  +0.00123   88.9%   +1.28   9/10
train_07    10417  0.00163   20   0.82304   0.00245   0.81851   0.82651   0.00800 |   0.82651  +0.00347  100.0%   +1.42  10/10
